,BookName,AuthorName,BookRating,UserRating,BookPrice
0,The Psychology of Money,Morgan Housel,4.5 out of 5 stars,"7,279",₹ 290.00
1,Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6 out of 5 stars,"11,892",₹ 300.00
2,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"19,467",₹ 399.00
3,My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.4 out of 5 stars,"4,248",₹ 89.00
4,Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"7,142",₹ 585.00
5,Exam Warriors (Revised and Updated Edition),Narendra Modi,4.2 out of 5 stars,112,₹ 125.00
6,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for…",Sudha Murty,4.6 out of 5 stars,"4,315",₹ 191.00
7,Very First Sight Words Sentences Level - 1,Dreamland Publications,4.5 out of 5 stars,"2,484",₹ 108.00
8,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,"4,761",₹ 299.00
9,Mathematics for Class 9 by R D Sharma (Examination 2021-22),R.D. Sharma,4.6 out of 5 stars,715,₹ 380.00
10,The Alchemist,Paulo Coelho,4.6 out of 5 stars,"48,978",₹ 175.00
11,26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,Mrunal Patel,4.5 out of 5 stars,"1,176",₹ 319.00
12,Educart All Subjects Final Revision Book Of CBSE Class 10 Strictly For May 2021 Exam (Objective Maps + Case based Q…,Educart,4.4 out of 5 stars,132,₹ 198.00
13,Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars,"10,048",₹ 476.00
14,Illustrated Ramayana For Children : Immortal Epic of India (Deluxe Edition),Shubha Vilas,4.5 out of 5 stars,5,₹ 699.00
15,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,"38,014",₹ 383.00
16,Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"16,662",₹ 445.00
17,Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,"6,575",₹ 175.00
18,"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and…",Wonder House Books,4.4 out of 5 stars,"2,083",₹ 159.00
19,The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"28,394",₹ 109.00
20,Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,"4,419",₹ 210.00
21,NCERT Textbooks in English for class 12 - Flamingo and Vistas - 12074 &12075,ncert,4.6 out of 5 stars,242,₹ 94.00
22,Spoken English Course (Telugu),Vashista 360,4.5 out of 5 stars,968,₹ 399.00
23,Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,4.7 out of 5 stars,"11,456",₹ 279.00
24,Picture Books Collection for Early Learning (Set of 12),E C Axus,4.3 out of 5 stars,"5,039",₹ 242.00
